file,burst_delay,inner_burst_delay,burst_size,burst_delay_ticks,inner_burst_delay_ticks,rpm

1000trace,0.06499356499356497,0,1,1.949806949806949,0,923.1683168316835

140hc,0.43375,0,1,13.012500000000001,0,138.32853025936598

140sniper,0.4333333333333334,0,1,13.000000000000002,0,138.46153846153845

200scout,0.2997023809523809,0,1,8.991071428571427,0,200.1986097318769

260scout,0.23428571428571432,0,1,7.028571428571429,0,256.0975609756097

340pulse,0.3965986394557823,0.0669642857142857,3,11.897959183673468,2.008928571428571,339.2851418496554

450auto,0.1334440753045404,0,1,4.003322259136212,0,449.62655601659765

450pulse,0.2657142857142857,0.06709956709956709,3,7.971428571428571,2.0129870129870127,450.0974236847803

45glaive,1.0047619047619047,0,1,30.142857142857142,0,59.71563981042654

491sidearm,0.2363095238095238,0.0656084656084656,3,7.089285714285714,1.9682539682539681,489.76066222782083

540pulse,0.19571428571428567,0.06796536796536795,3,5.87142857142857,2.0389610389610384,542.7489883827178

55shotty,1.1095238095238096,0,1,33.285714285714285,0,54.07725321888412

60shotty,1.002857142857143,0,1,30.085714285714285,0,59.82905982905983

65slug,0.9114285714285714,0,1,27.34285714285714,0,65.8307210031348

70slug,0.8285714285714286,0,1,24.857142857142858,0,72.41379310344827

72sniper,0.29781746031746026,0,1,8.934523809523808,0,201.4656895403065

750smg,0.0830357142857143,0,1,2.491071428571429,0,722.5806451612902

80shotty,0.736904761904762,0,1,22.107142857142858,0,81.421647819063

900smg,0.06666666666666667,0,1,2.0,0,900.0

90shotty,0.6904761904761905,0,1,20.714285714285715,0,86.89655172413794

crimson,0.21428571428571427,0.10714285714285718,3,6.428571428571428,3.2142857142857153,419.99999999999994

graviton,0.41391941391941395,0.06904761904761905,2,12.417582417582418,2.0714285714285716,248.46416382252556

low,0.20095238095238094,0.06686507936507935,5,6.0285714285714285,2.0059523809523805,640.460860725178

low,0.0980952380952381,0.06765873015873015,5,2.942857142857143,2.0297619047619047,813.6030994403789

overture,0.4949735449735449,0,1,14.849206349206348,0,121.21859967931589

sunshot,0.4014285714285714,0,1,12.042857142857143,0,149.46619217081852

tlw,0.2680272108843537,0,1,8.040816326530612,0,223.85786802030458

